Sl		Input		Reversal Count	Inversion Count		No of moves	Ratio
1)		1 2 3 4 5		0		0			0
2)		2 1 3 4 5		1		1			1	1.0
3)		3 1 2 4 5		1		1			1	1.0
4)		4 1 2 3 5		1		1			1	1.0
5)		5 1 2 3 4		1		1			1	1.0
6)		1 2 5 4 3		2		2			2	1.0
7)		2 1 5 4 3		3		3			3	1.0
8)		3 1 5 4 2		3		2			4	1.3333333333333333
9)		4 1 5 3 2		3		2			3	1.0
10)		5 1 4 3 2		3		3			4	1.3333333333333333
11)		1 2 4 5 3		1		1			1	1.0
12)		2 1 4 5 3		2		2			2	1.0
13)		3 1 2 5 4		2		2			2	1.0
14)		4 1 2 5 3		2		1			2	1.0
15)		5 1 2 4 3		2		2			2	1.0
16)		1 2 3 5 4		1		1			1	1.0
17)		2 1 3 5 4		2		2			2	1.0
18)		3 1 4 5 2		2		1			2	1.0
19)		4 1 3 5 2		2		2			3	1.5
20)		5 1 3 4 2		2		2			3	1.5
21)		1 2 5 3 4		1		1			1	1.0
22)		2 1 5 3 4		2		2			2	1.0
23)		3 1 4 2 5		2		1			2	1.0
24)		4 1 3 2 5		2		2			3	1.5
25)		5 1 3 2 4		2		2			3	1.5
26)		1 2 4 3 5		1		1			1	1.0
27)		2 1 4 3 5		2		2			2	1.0
28)		3 1 5 2 4		2		2			3	1.5
29)		4 1 5 2 3		2		1			2	1.0
30)		5 1 4 2 3		2		2			3	1.5
31)		1 5 2 4 3		2		2			3	1.5
32)		2 3 1 4 5		1		1			1	1.0
33)		3 2 1 4 5		2		2			2	1.0
34)		4 2 1 3 5		2		2			2	1.0
35)		5 2 1 3 4		2		2			2	1.0
36)		1 5 3 4 2		2		2			3	1.5
37)		2 3 5 4 1		2		2			2	1.0
38)		3 2 5 4 1		3		3			3	1.0
39)		4 2 5 3 1		3		2			3	1.0
40)		5 2 4 3 1		3		3			3	1.0
41)		1 5 2 3 4		1		1			2	2.0
42)		2 3 1 5 4		2		2			2	1.0
43)		3 2 1 5 4		3		3			3	1.0
44)		4 2 1 5 3		3		2			3	1.0
45)		5 2 1 4 3		3		3			3	1.0
46)		1 5 4 3 2		3		3			4	1.3333333333333333
47)		2 3 4 5 1		1		1			1	1.0
48)		3 2 4 5 1		2		2			2	1.0
49)		4 2 3 5 1		2		2			2	1.0
50)		5 2 3 4 1		2		2			2	1.0
51)		1 5 3 2 4		2		2			3	1.5
52)		2 3 5 1 4		1		2			2	1.0
53)		3 2 5 1 4		2		3			3	1.0
54)		4 2 5 1 3		2		2			3	1.5
55)		5 2 4 1 3		2		3			3	1.0
56)		1 5 4 2 3		2		2			3	1.5
57)		2 3 4 1 5		1		1			1	1.0
58)		3 2 4 1 5		2		2			2	1.0
59)		4 2 3 5 1		2		2			2	1.0
60)		5 2 3 1 4		2		2			2	1.0
61)		1 3 2 4 5		1		1			2	2.0
62)		2 4 1 3 5		1		2			2	1.0
63)		3 4 1 2 5		1		1			1	1.0
64)		4 3 1 2 5		2		2			2	1.0
65)		5 3 1 2 4		2		2			2	1.0
66)		1 3 5 4 2		2		2			4	2.0
67)		2 4 5 3 1		2		2			2	1.0
68)		3 4 5 2 1		2		2			2	1.0
69)		4 3 5 2 1		3		3			3	1.0
70)		5 3 4 2 1		3		3			3	1.0
71)		1 3 2 5 4		2		2			3	1.5
72)		2 4 3 1 5		2		2			2	1.0
73)		3 4 2 1 5		2		2			2	1.0
74)		4 3 2 1 5		3		3			3	1.0
75)		5 3 2 1 4		3		3			3	1.0
76)		1 3 4 5 2		1		1			2	2.0
77)		2 4 5 1 3		1		2			2	1.0
78)		3 4 5 1 2		1		1			1	1.0
79)		4 3 5 1 2		2		2			2	1.0
80)		5 3 4 1 2		2		2			2	1.0
81)		1 3 5 2 4		1		2			3	1.5
82)		2 4 1 5 3		2		2			2	1.0
83)		3 4 1 5 2		2		1			2	1.0
84)		4 3 1 5 2		3		2			3	1.0
85)		5 3 1 4 2		3		2			3	1.0
86)		1 3 4 2 5		1		1			2	2.0
87)		2 4 3 5 1		2		2			2	1.0
88)		3 4 2 5 1		2		2			2	1.0
89)		4 3 2 5 1		3		3			3	1.0
90)		5 3 2 4 1		3		3			3	1.0
91)		1 4 2 3 5		1		1			2	2.0
92)		2 5 1 3 4		1		2			2	1.0
93)		3 5 1 2 4		1		2			2	1.0
94)		4 5 1 2 3		1		1			1	1.0
95)		5 4 1 2 3		2		2			2	1.0
96)		1 4 5 3 2		2		2			3	1.5
97)		2 5 4 3 1		3		3			3	1.0
98)		3 5 4 2 1		3		3			4	1.3333333333333333
99)		4 5 3 2 1		3		3			3	1.0
100)		5 4 3 2 1		4		4			4	1.0
101)		1 4 2 5 3		2		1			3	1.5
102)		2 5 3 1 4		2		2			2	1.0
103)		3 5 2 1 4		2		3			3	1.0
104)		4 5 2 1 3		2		2			2	1.0
105)		5 4 2 1 3		3		3			3	1.0
106)		1 4 3 5 2		2		2			3	1.5
107)		2 5 4 1 3		2		3			3	1.0
108)		3 5 4 1 2		2		2			3	1.5
109)		4 5 3 1 2		2		2			2	1.0
110)		5 4 3 1 2		3		3			3	1.0
111)		1 4 5 2 3		1		1			2	2.0
112)		2 5 1 4 3		2		3			3	1.0
113)		3 5 1 4 2		2		2			4	2.0
114)		4 5 1 3 2		2		2			3	1.5
115)		5 4 1 3 2		3		3			4	1.3333333333333333
116)		1 4 3 2 5		2		2			3	1.5
117)		2 5 3 4 1		2		2			2	1.0
118)		3 5 2 4 1		2		3			3	1.0
119)		4 5 2 3 1		2		2			2	1.0
120)		5 4 2 3 1		3		3			3	1.0
